Fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2023-12-01 18:35:00,1.62,9.72,8.154,7.5,12.39,11.6025,1.728,16.275,1.44,14.77875
2023-12-01 18:40:00,1.878,9.972,8.028,7.125,12.495,11.55,1.734,15.1725,1.512,13.65
2023-12-01 18:45:00,1.674,9.504,7.956,7.8,12.5475,11.6025,1.758,15.75,1.368,11.865
2023-12-01 18:50:00,1.596,9.324,8.226,7.05,12.3375,11.445,1.764,16.5375,1.212,12.67875
2023-12-01 18:55:00,1.68,9.972,8.586,7.125,12.2325,10.9725,1.752,17.22,1.356,13.09875
2023-12-01 19:00:00,1.686,9.63,8.694,7.2,11.55,10.8675,1.74,16.8,1.38,13.15125
2023-12-01 19:05:00,1.632,9.144,8.406,6.9,11.9175,10.815,1.734,17.115,1.272,13.5975
2023-12-01 19:10:00,1.602,10.044,8.19,7.05,13.125,10.815,1.722,15.5925,1.332,13.09875
2023-12-01 19:15:00,1.602,10.854,8.208,7.275,13.8075,11.235,1.734,16.4325,1.26,11.76
2023-12-01 19:20:00,1.824,10.368,8.316,6.675,13.44,11.6025,1.746,16.9575,1.284,12.18
2023-12-01 19:25:00,1.644,9.45,8.712,7.575,12.6525,11.6025,1.728,15.855,1.32,12.6525
2023-12-01 19:30:00,1.752,9.99,8.748,6.9,12.81,11.1825,1.692,16.3275,1.284,12.5475
2023-12-01 19:35:00,1.578,9.54,8.658,7.2,12.2325,11.1825,1.674,16.6425,1.308,12.6525
2023-12-01 19:40:00,1.698,9.09,8.676,7.125,12.8625,11.445,1.71,16.5375,1.26,12.4425
2023-12-01 19:45:00,1.566,9.594,8.622,6.6,13.5975,11.445,1.716,16.8,1.416,11.89125
2023-12-01 19:50:00,1.692,9.036,8.478,6.825,13.1775,11.655,1.722,17.64,1.332,13.20375
2023-12-01 19:55:00,1.662,8.55,8.208,6.075,11.97,11.34,1.716,15.225,1.26,12.83625
2023-12-01 20:00:00,1.572,9.522,8.19,7.125,11.6025,11.97,1.716,15.9075,1.188,12.1275
2023-12-01 20:05:00,1.626,10.296,8.28,6.225,11.55,11.76,1.734,16.9575,1.236,12.1275
2023-12-01 20:10:00,1.782,9.9,8.37,6.9,11.0775,11.655,1.728,16.065,1.212,11.31375
2023-12-01 20:15:00,1.71,9.252,8.496,7.575,11.7075,11.655,1.716,15.855,1.308,10.89375
2023-12-01 20:20:00,1.572,9.666,8.676,6.825,12.495,11.76,1.728,15.0675,1.308,11.3925
2023-12-01 20:25:00,1.812,9.396,8.874,6.9,12.7575,11.7075,1.728,15.225,1.104,11.6025
2023-12-01 20:30:00,1.524,8.766,8.82,7.875,13.3875,11.6025,1.752,16.3275,1.284,11.97
2023-12-01 20:35:00,1.536,9.846,8.712,6.75,13.65,11.655,1.746,15.645,1.272,11.55
2023-12-01 20:40:00,1.584,10.08,8.154,6.75,13.65,11.55,1.716,15.33,1.212,11.26125
2023-12-01 20:45:00,1.584,9.414,8.334,6.675,13.02,11.6025,1.698,15.96,1.176,10.5
2023-12-01 20:50:00,1.506,9.882,8.064,6.675,11.2875,11.655,1.71,16.4325,1.2,10.71
